------------------------------------------------------------
 E1
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,              1.17868
            0.430558,              1.21394
            0.861116,              1.30821
             1.29167,              1.42931
             1.72223,              1.52364
             2.15279,               1.5983
             2.58335,              1.68175
              3.0139,               1.7757
             3.44446,              1.82551
             3.87502,                1.677
             4.30558,              1.54589
             4.73614,              1.43365
             5.16669,              1.34146
             5.59725,              1.27072
             6.02781,              1.22284
             6.45837,                1.199
             6.88892,              1.19988
             7.31948,              1.22621
             7.75004,              1.27782
              8.1806,              1.35181

------------------------------------------------------------
 E6
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,            -0.040531
            0.430558,           -0.0681145
            0.861116,           -0.0953061
             1.29167,            -0.118745
             1.72223,            -0.134055
             2.15279,             -0.15472
             2.58335,            -0.182751
              3.0139,            -0.219807
             3.44446,            -0.267543
             3.87502,            -0.327519
             4.30558,            -0.401034
             4.73614,            -0.488956
             5.16669,            -0.591564
             5.59725,            -0.708446
             6.02781,            -0.838469
             6.45837,            -0.979808
             6.88892,             -1.12995
             7.31948,             -1.28384
             7.75004,             -1.39177
              8.1806,             -1.43274

